Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Bretagne,Flux physiques de Bourgogne-Franche-Comté vers Bretagne,Flux physiques de Bretagne vers Bretagne,Flux physiques de Centre-Val de Loire vers Bretagne,Flux physiques de Grand-Est vers Bretagne,Flux physiques de Hauts-de-France vers Bretagne,Flux physiques d'Ile-de-France vers Bretagne,Flux physiques de Normandie vers Bretagne,Flux physiques de Nouvelle-Aquitaine vers Bretagne,Flux physiques d'Occitanie vers Bretagne,Flux physiques de Pays-de-la-Loire vers Bretagne,Flux physiques de PACA vers Bretagne,Flux physiques de Bretagne vers Auvergne-Rhône-Alpes,Flux physiques de Bretagne vers Bourgogne-Franche-Comté,Flux physiques de Bretagne vers Bretagne.1,Flux physiques de Bretagne vers Centre-Val de Loire,Flux physiques de Bretagne vers Grand-Est,Flux physiques de Bretagne vers Hauts-de-France,Flux physiques de Bretagne vers Ile-de-France,Flux physiques de Bretagne vers Normandie,Flux physiques de Bretagne vers Nouvelle-Aquitaine,Flux physiques de Bretagne vers Occitanie,Flux physiques de Bretagne vers Pays-de-la-Loire,Flux physiques de Bretagne vers PACA,Flux physiques Allemagne vers Bretagne,Flux physiques Belgique vers Bretagne,Flux physiques Espagne vers Bretagne,Flux physiques Italie vers Bretagne,Flux physiques Luxembourg vers Bretagne,Flux physiques Royaume-Uni vers Bretagne,Flux physiques Suisse vers Bretagne,Flux physiques de Bretagne vers Allemagne,Flux physiques de Bretagne vers Belgique,Flux physiques de Bretagne vers Espagne,Flux physiques de Bretagne vers Italie,Flux physiques de Bretagne vers Luxembourg,Flux physiques de Bretagne vers Royaume-Uni,Flux physiques de Bretagne vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Bretagne,Données définitives,2021-01-01,00:00,3993.0,232.0,0.0,2.0,1.0,185.0,-1.0,51.0,-,-,-,-,3523.0,-,-,-,-,-,-,-,ND,-,-,ND,-,-,-,-,-,-,-,-,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.81,23.06,0.0,-,0.05,0.19,0.03,0.4,4.63,67.27,1.28,67.11,
Bretagne,Données définitives,2021-01-01,00:15,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,00:30,3904.0,233.0,0.0,6.0,0.0,223.0,-1.0,52.0,0,0,0,0,3392.0,-,-,-,-,-,-,-,964,-,-,3143,-,-,-,-,-,-,-,-,0,-,-,715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.97,23.16,0.0,-,0.15,0.56,0.0,0.0,5.71,81.09,1.33,68.42,
Bretagne,Données définitives,2021-01-01,00:45,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,01:00,3715.0,234.0,0.0,7.0,0.0,246.0,-1.0,51.0,0,0,0,0,3179.0,-,-,-,-,-,-,-,905,-,-,2947,-,-,-,-,-,-,-,-,0,-,-,673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,23.26,0.0,-,0.19,0.66,0.0,0.0,6.62,89.45,1.37,67.11,
Bretagne,Données définitives,2021-01-01,01:15,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,01:30,3641.0,233.0,0.0,12.0,0.0,249.0,-1.0,51.0,0,0,0,0,3098.0,-,-,-,-,-,-,-,832,-,-,2961,-,-,-,-,-,-,-,-,0,-,-,695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,23.16,0.0,-,0.33,1.13,0.0,0.0,6.84,90.55,1.4,67.11,
Bretagne,Données définitives,2021-01-01,01:45,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,02:00,3732.0,230.0,0.0,18.0,0.0,249.0,-1.0,52.0,0,0,0,0,3184.0,-,-,-,-,-,-,-,913,-,-,3062,-,-,-,-,-,-,-,-,0,-,-,790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.16,22.86,0.0,-,0.48,1.69,0.0,0.0,6.67,90.55,1.39,68.42,
Bretagne,Données définitives,2021-01-01,02:15,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,02:30,3608.0,230.0,0.0,36.0,0.0,248.0,-1.0,51.0,0,0,0,0,3044.0,-,-,-,-,-,-,-,832,-,-,3013,-,-,-,-,-,-,-,-,0,-,-,801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.37,22.86,0.0,-,1.0,3.38,0.0,0.0,6.87,90.18,1.41,67.11,
Bretagne,Données définitives,2021-01-01,02:45,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,03:00,3433.0,231.0,0.0,55.0,0.0,246.0,-1.0,51.0,0,0,0,0,2851.0,-,-,-,-,-,-,-,745,-,-,2830,-,-,-,-,-,-,-,-,0,-,-,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.73,22.96,0.0,-,1.6,5.16,0.0,0.0,7.17,89.45,1.49,67.11,
Bretagne,Données définitives,2021-01-01,03:15,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,03:30,3321.0,232.0,0.0,76.0,0.0,234.0,-1.0,51.0,0,0,0,0,2729.0,-,-,-,-,-,-,-,675,-,-,2711,-,-,-,-,-,-,-,-,0,-,-,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.99,23.06,0.0,-,2.29,7.14,0.0,0.0,7.05,85.09,1.54,67.11,
Bretagne,Données définitives,2021-01-01,03:45,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Bretagne,Données définitives,2021-01-01,04:00,3242.0,235.0,0.0,90.0,0.0,188.0,-1.0,52.0,0,0,0,0,2678.0,-,-,-,-,-,-,-,650,-,-,2646,-,-,-,-,-,-,-,-,0,-,-,617,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.25,23.36,0.0,-,2.78,8.45,0.0,0.0,5.8,68.36,1.6,68.42,
Bretagne,Données définitives,2021-01-01,04:15,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
