Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Normandie,Flux physiques de Bourgogne-Franche-Comté vers Normandie,Flux physiques de Bretagne vers Normandie,Flux physiques de Centre-Val de Loire vers Normandie,Flux physiques de Grand-Est vers Normandie,Flux physiques de Hauts-de-France vers Normandie,Flux physiques d'Ile-de-France vers Normandie,Flux physiques de Normandie vers Normandie,Flux physiques de Nouvelle-Aquitaine vers Normandie,Flux physiques d'Occitanie vers Normandie,Flux physiques de Pays-de-la-Loire vers Normandie,Flux physiques de PACA vers Normandie,Flux physiques de Normandie vers Auvergne-Rhône-Alpes,Flux physiques de Normandie vers Bourgogne-Franche-Comté,Flux physiques de Normandie vers Bretagne,Flux physiques de Normandie vers Centre-Val de Loire,Flux physiques de Normandie vers Grand-Est,Flux physiques de Normandie vers Hauts-de-France,Flux physiques de Normandie vers Ile-de-France,Flux physiques de Normandie vers Normandie.1,Flux physiques de Normandie vers Nouvelle-Aquitaine,Flux physiques de Normandie vers Occitanie,Flux physiques de Normandie vers Pays-de-la-Loire,Flux physiques de Normandie vers PACA,Flux physiques Allemagne vers Normandie,Flux physiques Belgique vers Normandie,Flux physiques Espagne vers Normandie,Flux physiques Italie vers Normandie,Flux physiques Luxembourg vers Normandie,Flux physiques Royaume-Uni vers Normandie,Flux physiques Suisse vers Normandie,Flux physiques de Normandie vers Allemagne,Flux physiques de Normandie vers Belgique,Flux physiques de Normandie vers Espagne,Flux physiques de Normandie vers Italie,Flux physiques de Normandie vers Luxembourg,Flux physiques de Normandie vers Royaume-Uni,Flux physiques de Normandie vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Normandie,Données définitives,2021-01-01,00:00,4338.0,314.0,7751.0,32.0,0.0,16.0,0.0,53.0,-,-,-,-,-3827.0,-,-,ND,ND,-,ND,ND,-,-,-,ND,-,-,-,ND,ND,-,ND,ND,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.24,22.07,178.68,72.85,0.74,3.73,0.0,0.0,0.37,53.33,1.22,41.73,
Normandie,Données définitives,2021-01-01,00:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,00:30,4232.0,311.0,7755.0,20.0,0.0,15.0,0.0,60.0,0,0,0,0,-3930.0,-,-,0,82,-,198,166,-,-,-,75,-,-,-,964,68,-,2636,5,-,-,-,647,-,-,-,-,-,-,0,-,-,-,-,-,-,132,-,7.35,21.86,183.25,72.89,0.47,2.33,0.0,0.0,0.35,50.0,1.42,47.24,
Normandie,Données définitives,2021-01-01,00:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,01:00,4130.0,311.0,7753.0,18.0,0.0,15.0,0.0,59.0,0,0,0,0,-4026.0,-,-,0,79,-,195,146,-,-,-,71,-,-,-,905,65,-,2759,35,-,-,-,624,-,-,-,-,-,-,0,-,-,-,-,-,-,128,-,7.53,21.86,187.72,72.87,0.44,2.1,0.0,0.0,0.36,50.0,1.43,46.46,
Normandie,Données définitives,2021-01-01,01:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,01:30,4138.0,311.0,7013.0,17.0,0.0,15.0,0.0,61.0,0,0,0,0,-3279.0,-,-,0,78,-,195,214,-,-,-,71,-,-,-,832,64,-,2257,4,-,-,-,552,-,-,-,-,-,-,0,-,-,-,-,-,-,128,-,7.52,21.86,169.48,65.91,0.41,1.98,0.0,0.0,0.36,50.0,1.47,48.03,
Normandie,Données définitives,2021-01-01,01:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,02:00,4124.0,311.0,6444.0,17.0,0.0,15.0,0.0,61.0,0,0,0,0,-2723.0,-,-,0,87,-,190,374,-,-,-,73,-,-,-,913,68,-,1763,4,-,-,-,565,-,-,-,-,-,-,0,-,-,-,-,-,-,135,-,7.54,21.86,156.26,60.56,0.41,1.98,0.0,0.0,0.36,50.0,1.48,48.03,
Normandie,Données définitives,2021-01-01,02:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,02:30,3999.0,311.0,6258.0,21.0,0.0,15.0,0.0,61.0,0,0,0,0,-2666.0,-,-,0,80,-,180,310,-,-,-,70,-,-,-,832,63,-,1772,4,-,-,-,499,-,-,-,-,-,-,0,-,-,-,-,-,-,135,-,7.78,21.86,156.49,58.82,0.53,2.44,0.0,0.0,0.38,50.0,1.53,48.03,
Normandie,Données définitives,2021-01-01,02:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,03:00,3905.0,312.0,6221.0,22.0,0.0,14.0,0.0,59.0,0,0,0,0,-2724.0,-,-,0,74,-,172,248,-,-,-,66,-,-,-,745,58,-,1927,4,-,-,-,414,-,-,-,-,-,-,0,-,-,-,-,-,-,136,-,7.99,21.93,159.31,58.47,0.56,2.56,0.0,0.0,0.36,46.67,1.51,46.46,
Normandie,Données définitives,2021-01-01,03:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,03:30,3814.0,311.0,6289.0,20.0,0.0,14.0,0.0,61.0,0,0,0,0,-2881.0,-,-,0,68,-,168,183,-,-,-,63,-,-,-,675,54,-,2155,4,-,-,-,339,-,-,-,-,-,-,0,-,-,-,-,-,-,135,-,8.15,21.86,164.89,59.11,0.52,2.33,0.0,0.0,0.37,46.67,1.6,48.03,
Normandie,Données définitives,2021-01-01,03:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,04:00,3742.0,310.0,6234.0,21.0,0.0,14.0,0.0,60.0,0,0,0,0,-2899.0,-,-,0,64,-,167,141,-,-,-,61,-,-,-,650,52,-,2190,4,-,-,-,303,-,-,-,-,-,-,0,-,-,-,-,-,-,134,-,8.28,21.78,166.6,58.59,0.56,2.44,0.0,0.0,0.37,46.67,1.6,47.24,
Normandie,Données définitives,2021-01-01,04:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,04:30,3717.0,310.0,6287.0,19.0,0.0,14.0,0.0,62.0,0,0,0,0,-2975.0,-,-,0,63,-,169,114,-,-,-,75,-,-,-,630,50,-,2308,8,-,-,-,271,-,-,-,-,-,-,0,-,-,-,-,-,-,130,-,8.34,21.78,169.14,59.09,0.51,2.21,0.0,0.0,0.38,46.67,1.67,48.82,
Normandie,Données définitives,2021-01-01,04:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,05:00,3682.0,309.0,6285.0,20.0,0.0,13.0,0.0,62.0,0,0,0,0,-3008.0,-,-,0,60,-,167,109,-,-,-,79,-,-,-,630,49,-,2348,11,-,-,-,261,-,-,-,-,-,-,0,-,-,-,-,-,-,125,-,8.39,21.71,170.7,59.07,0.54,2.33,0.0,0.0,0.35,43.33,1.68,48.82,
Normandie,Données définitives,2021-01-01,05:15,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
Normandie,Données définitives,2021-01-01,05:30,3720.0,307.0,6287.0,17.0,0.0,13.0,0.0,59.0,0,0,0,0,-2963.0,-,-,0,62,-,168,121,-,-,-,61,-,-,-,686,51,-,2209,4,-,-,-,302,-,-,-,-,-,-,0,-,-,-,-,-,-,123,-,8.25,21.57,169.01,59.09,0.46,1.98,0.0,0.0,0.35,43.33,1.59,46.46,
Normandie,Données définitives,2021-01-01,05:45,,,,,,,,,,,,,,-,-,,,-,,,-,-,-,,-,-,-,,,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,
