Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Nouvelle-Aquitaine,Flux physiques de Bourgogne-Franche-Comté vers Nouvelle-Aquitaine,Flux physiques de Bretagne vers Nouvelle-Aquitaine,Flux physiques de Centre-Val de Loire vers Nouvelle-Aquitaine,Flux physiques de Grand-Est vers Nouvelle-Aquitaine,Flux physiques de Hauts-de-France vers Nouvelle-Aquitaine,Flux physiques d'Ile-de-France vers Nouvelle-Aquitaine,Flux physiques de Normandie vers Nouvelle-Aquitaine,Flux physiques de Nouvelle-Aquitaine vers Nouvelle-Aquitaine,Flux physiques d'Occitanie vers Nouvelle-Aquitaine,Flux physiques de Pays-de-la-Loire vers Nouvelle-Aquitaine,Flux physiques de PACA vers Nouvelle-Aquitaine,Flux physiques de Nouvelle-Aquitaine vers Auvergne-Rhône-Alpes,Flux physiques de Nouvelle-Aquitaine vers Bourgogne-Franche-Comté,Flux physiques de Nouvelle-Aquitaine vers Bretagne,Flux physiques de Nouvelle-Aquitaine vers Centre-Val de Loire,Flux physiques de Nouvelle-Aquitaine vers Grand-Est,Flux physiques de Nouvelle-Aquitaine vers Hauts-de-France,Flux physiques de Nouvelle-Aquitaine vers Ile-de-France,Flux physiques de Nouvelle-Aquitaine vers Normandie,Flux physiques de Nouvelle-Aquitaine vers Nouvelle-Aquitaine.1,Flux physiques de Nouvelle-Aquitaine vers Occitanie,Flux physiques de Nouvelle-Aquitaine vers Pays-de-la-Loire,Flux physiques de Nouvelle-Aquitaine vers PACA,Flux physiques Allemagne vers Nouvelle-Aquitaine,Flux physiques Belgique vers Nouvelle-Aquitaine,Flux physiques Espagne vers Nouvelle-Aquitaine,Flux physiques Italie vers Nouvelle-Aquitaine,Flux physiques Luxembourg vers Nouvelle-Aquitaine,Flux physiques Royaume-Uni vers Nouvelle-Aquitaine,Flux physiques Suisse vers Nouvelle-Aquitaine,Flux physiques de Nouvelle-Aquitaine vers Allemagne,Flux physiques de Nouvelle-Aquitaine vers Belgique,Flux physiques de Nouvelle-Aquitaine vers Espagne,Flux physiques de Nouvelle-Aquitaine vers Italie,Flux physiques de Nouvelle-Aquitaine vers Luxembourg,Flux physiques de Nouvelle-Aquitaine vers Royaume-Uni,Flux physiques de Nouvelle-Aquitaine vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Nouvelle-Aquitaine,Données définitives,2021-01-01,00:00,6522.0,141.0,6701.0,25.0,0.0,650.0,0.0,170.0,-,-,-,-,-1164.0,ND,-,-,ND,-,-,-,-,-,ND,ND,-,ND,-,-,ND,-,-,-,-,-,ND,ND,-,-,-,ND,-,-,-,-,-,-,ND,-,-,-,-,2.16,22.52,102.74,101.07,0.38,2.13,0.0,0.0,9.97,36.81,2.61,50.15,
Nouvelle-Aquitaine,Données définitives,2021-01-01,00:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Nouvelle-Aquitaine,Données définitives,2021-01-01,00:30,6604.0,136.0,6701.0,19.0,0.0,705.0,0.0,185.0,0,0,0,0,-1143.0,65,-,-,264,-,-,-,-,-,1141,44,-,68,-,-,981,-,-,-,-,-,202,2145,-,-,-,745,-,-,-,-,-,-,5,-,-,-,-,2.06,21.73,101.47,101.07,0.29,1.62,0.0,0.0,10.68,39.92,2.8,54.57,
Nouvelle-Aquitaine,Données définitives,2021-01-01,00:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Nouvelle-Aquitaine,Données définitives,2021-01-01,01:00,6422.0,136.0,6688.0,19.0,0.0,576.0,0.0,184.0,0,0,0,0,-1180.0,67,-,-,443,-,-,-,-,-,818,43,-,75,-,-,1094,-,-,-,-,-,185,1940,-,-,-,747,-,-,-,-,-,-,5,-,-,-,-,2.12,21.73,104.14,100.87,0.3,1.62,0.0,0.0,8.97,32.62,2.87,54.28,
Nouvelle-Aquitaine,Données définitives,2021-01-01,01:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Nouvelle-Aquitaine,Données définitives,2021-01-01,01:30,6619.0,136.0,6705.0,18.0,0.0,537.0,0.0,184.0,0,0,0,0,-963.0,73,-,-,332,-,-,-,-,-,1061,41,-,62,-,-,1162,-,-,-,-,-,182,2117,-,-,-,1052,-,-,-,-,-,-,0,-,-,-,-,2.05,21.73,101.3,101.13,0.27,1.54,0.0,0.0,8.11,30.41,2.78,54.28,
Nouvelle-Aquitaine,Données définitives,2021-01-01,01:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Nouvelle-Aquitaine,Données définitives,2021-01-01,02:00,6508.0,138.0,6705.0,18.0,0.0,540.0,0.0,183.0,0,0,0,0,-1077.0,76,-,-,274,-,-,-,-,-,1267,39,-,40,-,-,1180,-,-,-,-,-,186,2398,-,-,-,1130,-,-,-,-,-,-,59,-,-,-,-,2.12,22.04,103.03,101.13,0.28,1.54,0.0,0.0,8.3,30.58,2.81,53.98,
Nouvelle-Aquitaine,Données définitives,2021-01-01,02:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
