Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Grand-Est,Flux physiques de Bourgogne-Franche-Comté vers Grand-Est,Flux physiques de Bretagne vers Grand-Est,Flux physiques de Centre-Val de Loire vers Grand-Est,Flux physiques de Grand-Est vers Grand-Est,Flux physiques de Hauts-de-France vers Grand-Est,Flux physiques d'Ile-de-France vers Grand-Est,Flux physiques de Normandie vers Grand-Est,Flux physiques de Nouvelle-Aquitaine vers Grand-Est,Flux physiques d'Occitanie vers Grand-Est,Flux physiques de Pays-de-la-Loire vers Grand-Est,Flux physiques de PACA vers Grand-Est,Flux physiques de Grand-Est vers Auvergne-Rhône-Alpes,Flux physiques de Grand-Est vers Bourgogne-Franche-Comté,Flux physiques de Grand-Est vers Bretagne,Flux physiques de Grand-Est vers Centre-Val de Loire,Flux physiques de Grand-Est vers Grand-Est.1,Flux physiques de Grand-Est vers Hauts-de-France,Flux physiques de Grand-Est vers Ile-de-France,Flux physiques de Grand-Est vers Normandie,Flux physiques de Grand-Est vers Nouvelle-Aquitaine,Flux physiques de Grand-Est vers Occitanie,Flux physiques de Grand-Est vers Pays-de-la-Loire,Flux physiques de Grand-Est vers PACA,Flux physiques Allemagne vers Grand-Est,Flux physiques Belgique vers Grand-Est,Flux physiques Espagne vers Grand-Est,Flux physiques Italie vers Grand-Est,Flux physiques Luxembourg vers Grand-Est,Flux physiques Royaume-Uni vers Grand-Est,Flux physiques Suisse vers Grand-Est,Flux physiques de Grand-Est vers Allemagne,Flux physiques de Grand-Est vers Belgique,Flux physiques de Grand-Est vers Espagne,Flux physiques de Grand-Est vers Italie,Flux physiques de Grand-Est vers Luxembourg,Flux physiques de Grand-Est vers Royaume-Uni,Flux physiques de Grand-Est vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Grand-Est,Données définitives,2022-01-01,00:00,4581.0,513.0,6119.0,386.0,1.0,1582.0,-5.0,144.0,0.0,0.0,0.0,0.0,-4159.0,-,0,-,-,-,147,1,-,-,-,-,-,-,2596.0,-,-,-,385.0,1455.0,-,-,-,-,-,103,1056,-,-,ND,-,0,155.0,0.0,-,-,ND,-,870.0,11.2,15.76,133.57,56.55,8.43,9.4,0.02,0.11,34.53,68.46,3.14,56.47,
Grand-Est,Données définitives,2022-01-01,00:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2022-01-01,00:30,4529.0,217.0,6171.0,334.0,0.0,1691.0,-6.0,148.0,0.0,0.0,0.0,0.0,-4026.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,2462.0,-,-,-,473.0,2120.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,133.0,0.0,-,-,ND,-,520.0,4.79,6.66,136.26,57.03,7.37,8.13,0.0,0.0,37.34,73.17,3.27,58.04,
Grand-Est,Données définitives,2022-01-01,00:45,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2022-01-01,01:00,4389.0,220.0,6156.0,257.0,0.0,1320.0,-6.0,149.0,0.0,0.0,0.0,0.0,-3706.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,2457.0,-,-,-,309.0,1971.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,124.0,0.0,-,-,ND,-,519.0,5.01,6.76,140.26,56.89,5.86,6.26,0.0,0.0,30.08,57.12,3.39,58.43,
Grand-Est,Données définitives,2022-01-01,01:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2022-01-01,01:30,4425.0,220.0,6209.0,213.0,0.0,1353.0,-6.0,149.0,0.0,0.0,0.0,0.0,-3713.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,2421.0,-,-,-,318.0,2020.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,102.0,0.0,-,-,ND,-,496.0,4.97,6.76,140.32,57.38,4.81,5.19,0.0,0.0,30.58,58.55,3.37,58.43,
Grand-Est,Données définitives,2022-01-01,01:45,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
Grand-Est,Données définitives,2022-01-01,02:00,4466.0,223.0,6183.0,158.0,0.0,1336.0,-6.0,151.0,0.0,0.0,0.0,0.0,-3579.0,-,ND,-,-,-,ND,ND,-,-,-,-,-,-,2485.0,-,-,-,357.0,2113.0,-,-,-,-,-,ND,ND,-,-,ND,-,ND,48.0,0.0,-,-,ND,-,448.0,4.99,6.85,138.45,57.14,3.54,3.85,0.0,0.0,29.91,57.81,3.38,59.22,
Grand-Est,Données définitives,2022-01-01,02:15,,,,,,,,,,,,,,-,,-,-,-,,,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,
