Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Occitanie,Flux physiques de Bourgogne-Franche-Comté vers Occitanie,Flux physiques de Bretagne vers Occitanie,Flux physiques de Centre-Val de Loire vers Occitanie,Flux physiques de Grand-Est vers Occitanie,Flux physiques de Hauts-de-France vers Occitanie,Flux physiques d'Ile-de-France vers Occitanie,Flux physiques de Normandie vers Occitanie,Flux physiques de Nouvelle-Aquitaine vers Occitanie,Flux physiques d'Occitanie vers Occitanie,Flux physiques de Pays-de-la-Loire vers Occitanie,Flux physiques de PACA vers Occitanie,Flux physiques de Occitanie vers Auvergne-Rhône-Alpes,Flux physiques de Occitanie vers Bourgogne-Franche-Comté,Flux physiques de Occitanie vers Bretagne,Flux physiques de Occitanie vers Centre-Val de Loire,Flux physiques de Occitanie vers Grand-Est,Flux physiques de Occitanie vers Hauts-de-France,Flux physiques de Occitanie vers Ile-de-France,Flux physiques de Occitanie vers Normandie,Flux physiques de Occitanie vers Nouvelle-Aquitaine,Flux physiques de Occitanie vers Occitanie,Flux physiques de Occitanie vers Pays-de-la-Loire,Flux physiques de Occitanie vers PACA,Flux physiques Allemagne vers Occitanie,Flux physiques Belgique vers Occitanie,Flux physiques Espagne vers Occitanie,Flux physiques Italie vers Occitanie,Flux physiques Luxembourg vers Occitanie,Flux physiques Royaume-Uni vers Occitanie,Flux physiques Suisse vers Occitanie,Flux physiques de Occitanie vers Allemagne,Flux physiques de Occitanie vers Belgique,Flux physiques de Occitanie vers Espagne,Flux physiques de Occitanie vers Italie,Flux physiques de Occitanie vers Luxembourg,Flux physiques de Occitanie vers Royaume-Uni,Flux physiques de Occitanie vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Occitanie,Données définitives,2022-01-01,00:00,5000.0,80.0,2558.0,32.0,0.0,1368.0,-9.0,89.0,0.0,0.0,0.0,0.0,882.0,5488,-,-,-,-,-,-,-,1012,-,-,159,346.0,-,-,-,-,-,-,-,254.0,-,-,3899.0,-,-,0,-,-,-,-,-,-,1260.0,-,-,-,-,1.6,27.49,51.16,97.63,0.64,2.02,0.0,0.0,27.36,25.89,1.78,59.73,
Occitanie,Données définitives,2022-01-01,00:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,00:30,4913.0,83.0,2561.0,21.0,0.0,1896.0,-9.0,91.0,0.0,0.0,0.0,0.0,269.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,271.0,-,-,-,-,-,-,-,566.0,-,-,3528.0,-,-,ND,-,-,-,-,-,-,2230.0,-,-,-,-,1.69,28.52,52.13,97.75,0.43,1.33,0.0,0.0,38.59,35.89,1.85,61.07,
Occitanie,Données définitives,2022-01-01,00:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,01:00,4699.0,86.0,2561.0,29.0,0.0,1421.0,-45.0,92.0,0.0,0.0,0.0,0.0,556.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,200.0,-,-,-,-,-,-,-,599.0,-,-,3358.0,-,-,ND,-,-,-,-,-,-,2253.0,-,-,-,-,1.83,29.55,54.5,97.75,0.62,1.83,0.0,0.0,30.24,26.9,1.96,61.74,
Occitanie,Données définitives,2022-01-01,01:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,01:30,4682.0,87.0,2560.0,39.0,0.0,1247.0,-56.0,92.0,0.0,0.0,0.0,0.0,713.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,189.0,-,-,-,-,-,-,-,765.0,-,-,3434.0,-,-,ND,-,-,-,-,-,-,2137.0,-,-,-,-,1.86,29.9,54.68,97.71,0.83,2.46,0.0,0.0,26.63,23.6,1.96,61.74,
Occitanie,Données définitives,2022-01-01,01:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,02:00,4679.0,91.0,2561.0,47.0,0.0,1127.0,-479.0,91.0,0.0,0.0,0.0,0.0,1241.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,187.0,-,-,-,-,-,-,-,761.0,-,-,3365.0,-,-,ND,-,-,-,-,-,-,2168.0,-,-,-,-,1.94,31.27,54.73,97.75,1.0,2.97,0.0,0.0,24.09,21.33,1.94,61.07,
Occitanie,Données définitives,2022-01-01,02:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,02:30,4655.0,86.0,2564.0,56.0,0.0,1124.0,-688.0,91.0,0.0,0.0,0.0,0.0,1421.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,202.0,-,-,-,-,-,-,-,619.0,-,-,3538.0,-,-,ND,-,-,-,-,-,-,2018.0,-,-,-,-,1.85,29.55,55.08,97.86,1.2,3.54,0.0,0.0,24.15,21.28,1.95,61.07,
Occitanie,Données définitives,2022-01-01,02:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,03:00,4549.0,82.0,2565.0,57.0,0.0,997.0,-690.0,92.0,0.0,0.0,0.0,0.0,1447.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,190.0,-,-,-,-,-,-,-,547.0,-,-,3361.0,-,-,ND,-,-,-,-,-,-,2190.0,-,-,-,-,1.8,28.18,56.39,97.9,1.25,3.6,0.0,0.0,21.92,18.87,2.02,61.74,
Occitanie,Données définitives,2022-01-01,03:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,03:30,4429.0,82.0,2568.0,62.0,0.0,974.0,-908.0,92.0,0.0,0.0,0.0,0.0,1559.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,178.0,-,-,-,-,-,-,-,421.0,-,-,3385.0,-,-,ND,-,-,-,-,-,-,1961.0,-,-,-,-,1.85,28.18,57.98,98.02,1.4,3.92,0.0,0.0,21.99,18.44,2.08,61.74,
Occitanie,Données définitives,2022-01-01,03:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,04:00,4306.0,82.0,2569.0,57.0,0.0,986.0,-908.0,92.0,0.0,0.0,0.0,0.0,1427.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,171.0,-,-,-,-,-,-,-,443.0,-,-,3308.0,-,-,ND,-,-,-,-,-,-,1958.0,-,-,-,-,1.9,28.18,59.66,98.05,1.32,3.6,0.0,0.0,22.9,18.66,2.14,61.74,
Occitanie,Données définitives,2022-01-01,04:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,04:30,4216.0,82.0,2568.0,62.0,0.0,993.0,-921.0,92.0,0.0,0.0,0.0,0.0,1339.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,176.0,-,-,-,-,-,-,-,360.0,-,-,3314.0,-,-,ND,-,-,-,-,-,-,1882.0,-,-,-,-,1.94,28.18,60.91,98.02,1.47,3.92,0.0,0.0,23.55,18.8,2.18,61.74,
Occitanie,Données définitives,2022-01-01,04:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,05:00,4140.0,82.0,2566.0,63.0,0.0,1007.0,-920.0,91.0,0.0,0.0,0.0,0.0,1249.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,174.0,-,-,-,-,-,-,-,356.0,-,-,3284.0,-,-,ND,-,-,-,-,-,-,1905.0,-,-,-,-,1.98,28.18,61.98,97.94,1.52,3.98,0.0,0.0,24.32,19.06,2.2,61.07,
Occitanie,Données définitives,2022-01-01,05:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,05:30,4162.0,82.0,2566.0,61.0,0.0,992.0,-919.0,92.0,0.0,0.0,0.0,0.0,1288.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,187.0,-,-,-,-,-,-,-,361.0,-,-,3295.0,-,-,ND,-,-,-,-,-,-,1902.0,-,-,-,-,1.97,28.18,61.65,97.94,1.47,3.85,0.0,0.0,23.83,18.78,2.21,61.74,
Occitanie,Données définitives,2022-01-01,05:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,06:00,4158.0,82.0,2568.0,61.0,0.0,988.0,-908.0,90.0,0.0,0.0,0.0,0.0,1276.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,191.0,-,-,-,-,-,-,-,363.0,-,-,3279.0,-,-,ND,-,-,-,-,-,-,1904.0,-,-,-,-,1.97,28.18,61.76,98.02,1.47,3.85,0.0,0.0,23.76,18.7,2.16,60.4,
Occitanie,Données définitives,2022-01-01,06:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,06:30,4240.0,83.0,2572.0,51.0,0.0,1040.0,-906.0,88.0,0.0,0.0,0.0,0.0,1312.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,192.0,-,-,-,-,-,-,-,379.0,-,-,3263.0,-,-,ND,-,-,-,-,-,-,1927.0,-,-,-,-,1.96,28.52,60.66,98.17,1.2,3.22,0.0,0.0,24.53,19.69,2.08,59.06,
Occitanie,Données définitives,2022-01-01,06:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,07:00,4271.0,83.0,2576.0,40.0,0.0,1047.0,-906.0,90.0,0.0,0.0,0.0,0.0,1341.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,192.0,-,-,-,-,-,-,-,388.0,-,-,3242.0,-,-,ND,-,-,-,-,-,-,1921.0,-,-,-,-,1.94,28.52,60.31,98.32,0.94,2.53,0.0,0.0,24.51,19.82,2.11,60.4,
Occitanie,Données définitives,2022-01-01,07:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,07:30,4308.0,82.0,2574.0,31.0,0.0,1036.0,-892.0,90.0,0.0,0.0,0.0,0.0,1385.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,196.0,-,-,-,-,-,-,-,382.0,-,-,3256.0,-,-,ND,-,-,-,-,-,-,1858.0,-,-,-,-,1.9,28.18,59.75,98.24,0.72,1.96,0.0,0.0,24.05,19.61,2.09,60.4,
Occitanie,Données définitives,2022-01-01,07:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,08:00,4339.0,82.0,2577.0,31.0,0.0,1043.0,-683.0,91.0,0.0,0.0,0.0,0.0,1198.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,207.0,-,-,-,-,-,-,-,379.0,-,-,3284.0,-,-,ND,-,-,-,-,-,-,1849.0,-,-,-,-,1.89,28.18,59.39,98.36,0.71,1.96,0.0,0.0,24.04,19.74,2.1,61.07,
Occitanie,Données définitives,2022-01-01,08:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,08:30,4342.0,83.0,2577.0,24.0,3.0,1003.0,-880.0,93.0,0.0,0.0,0.0,0.0,1439.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,193.0,-,-,-,-,-,-,-,387.0,-,-,3308.0,-,-,ND,-,-,-,-,-,-,1785.0,-,-,-,-,1.91,28.52,59.35,98.36,0.55,1.52,0.07,0.11,23.1,18.99,2.14,62.42,
Occitanie,Données définitives,2022-01-01,08:45,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
Occitanie,Données définitives,2022-01-01,09:00,4418.0,83.0,2580.0,23.0,79.0,1017.0,-879.0,92.0,0.0,0.0,0.0,0.0,1423.0,ND,-,-,-,-,-,-,-,ND,-,-,ND,202.0,-,-,-,-,-,-,-,340.0,-,-,3371.0,-,-,ND,-,-,-,-,-,-,1641.0,-,-,-,-,1.88,28.52,58.4,98.47,0.52,1.45,1.79,3.01,23.02,19.25,2.08,61.74,
Occitanie,Données définitives,2022-01-01,09:15,,,,,,,,,,,,,,,-,-,,-,-,-,-,,-,-,,,-,-,,-,-,-,-,,-,-,,-,-,,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,
