Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Auvergne-Rhône-Alpes,Flux physiques de Bourgogne-Franche-Comté vers Auvergne-Rhône-Alpes,Flux physiques de Bretagne vers Auvergne-Rhône-Alpes,Flux physiques de Centre-Val de Loire vers Auvergne-Rhône-Alpes,Flux physiques de Grand-Est vers Auvergne-Rhône-Alpes,Flux physiques de Hauts-de-France vers Auvergne-Rhône-Alpes,Flux physiques d'Ile-de-France vers Auvergne-Rhône-Alpes,Flux physiques de Normandie vers Auvergne-Rhône-Alpes,Flux physiques de Nouvelle-Aquitaine vers Auvergne-Rhône-Alpes,Flux physiques d'Occitanie vers Auvergne-Rhône-Alpes,Flux physiques de Pays-de-la-Loire vers Auvergne-Rhône-Alpes,Flux physiques de PACA vers Auvergne-Rhône-Alpes,Flux physiques de Auvergne-Rhône-Alpes vers Auvergne-Rhône-Alpes,Flux physiques de Auvergne-Rhône-Alpes vers Bourgogne-Franche-Comté,Flux physiques de Auvergne-Rhône-Alpes vers Bretagne,Flux physiques de Auvergne-Rhône-Alpes vers Centre-Val de Loire,Flux physiques de Auvergne-Rhône-Alpes vers Grand-Est,Flux physiques de Auvergne-Rhône-Alpes vers Hauts-de-France,Flux physiques de Auvergne-Rhône-Alpes vers Ile-de-France,Flux physiques de Auvergne-Rhône-Alpes vers Normandie,Flux physiques de Auvergne-Rhône-Alpes vers Nouvelle-Aquitaine,Flux physiques de Auvergne-Rhône-Alpes vers Occitanie,Flux physiques de Auvergne-Rhône-Alpes vers Pays-de-la-Loire,Flux physiques de Auvergne-Rhône-Alpes vers PACA,Flux physiques Allemagne vers Auvergne-Rhône-Alpes,Flux physiques Belgique vers Auvergne-Rhône-Alpes,Flux physiques Espagne vers Auvergne-Rhône-Alpes,Flux physiques Italie vers Auvergne-Rhône-Alpes,Flux physiques Luxembourg vers Auvergne-Rhône-Alpes,Flux physiques Royaume-Uni vers Auvergne-Rhône-Alpes,Flux physiques Suisse vers Auvergne-Rhône-Alpes,Flux physiques de Auvergne-Rhône-Alpes vers Allemagne,Flux physiques de Auvergne-Rhône-Alpes vers Belgique,Flux physiques de Auvergne-Rhône-Alpes vers Espagne,Flux physiques de Auvergne-Rhône-Alpes vers Italie,Flux physiques de Auvergne-Rhône-Alpes vers Luxembourg,Flux physiques de Auvergne-Rhône-Alpes vers Royaume-Uni,Flux physiques de Auvergne-Rhône-Alpes vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,00:00,5013.0,162.0,7836.0,471.0,0.0,3929.0,-969.0,121.0,0.0,0.0,0.0,0.0,-6537.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,33.0,-,166.0,-,-,-,-,94.0,6362.0,-,890.0,-,-,-,ND,-,-,ND,-,-,-,869.0,-,-,785.0,3.23,16.55,156.31,57.75,9.4,65.15,0.0,0.0,78.38,34.46,2.41,63.35,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,00:30,6442.0,161.0,7884.0,462.0,0.0,3862.0,-955.0,119.0,0.0,0.0,0.0,0.0,-5090.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,30.0,-,152.0,-,-,-,-,97.0,6649.0,-,896.0,-,-,-,ND,-,-,ND,-,-,-,281.0,-,-,219.0,2.5,16.45,122.38,58.1,7.17,63.9,0.0,0.0,59.95,33.87,1.85,62.3,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,01:00,5966.0,161.0,7968.0,423.0,0.0,3965.0,-1080.0,119.0,0.0,0.0,0.0,0.0,-5591.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,67.0,-,279.0,-,-,-,-,103.0,6846.0,-,906.0,-,-,-,ND,-,-,ND,-,-,-,264.0,-,-,172.0,2.7,16.45,133.56,58.72,7.09,58.51,0.0,0.0,66.46,34.77,1.99,62.3,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,01:30,6089.0,161.0,7924.0,363.0,0.0,3872.0,-1255.0,119.0,0.0,0.0,0.0,0.0,-5095.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,58.0,-,265.0,-,-,-,-,102.0,6670.0,-,899.0,-,-,-,ND,-,-,ND,-,-,-,200.0,-,-,118.0,2.64,16.45,130.14,58.39,5.96,50.21,0.0,0.0,63.59,33.96,1.95,62.3,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,02:00,6020.0,161.0,7955.0,358.0,0.0,3595.0,-1165.0,121.0,0.0,0.0,0.0,0.0,-5006.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,51.0,-,264.0,-,-,-,-,105.0,6894.0,-,966.0,-,-,-,ND,-,-,ND,-,-,-,200.0,-,-,109.0,2.67,16.45,132.14,58.62,5.95,49.52,0.0,0.0,59.72,31.53,2.01,63.35,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,02:30,6310.0,160.0,7899.0,345.0,0.0,3552.0,-696.0,120.0,0.0,0.0,0.0,0.0,-5070.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,74.0,-,242.0,-,-,-,-,100.0,6654.0,-,932.0,-,-,-,ND,-,-,ND,-,-,-,265.0,-,-,146.0,2.54,16.34,125.18,58.21,5.47,47.72,0.0,0.0,56.29,31.15,1.9,62.83,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,02:45,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,03:00,6578.0,158.0,7550.0,356.0,0.0,3282.0,-732.0,119.0,0.0,0.0,0.0,0.0,-4156.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,42.0,-,155.0,-,-,-,-,87.0,6229.0,-,846.0,-,-,-,ND,-,-,ND,-,-,-,200.0,-,-,150.0,2.4,16.14,114.78,55.64,5.41,49.24,0.0,0.0,49.89,28.78,1.81,62.3,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,03:15,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,03:30,5985.0,158.0,7452.0,361.0,0.0,3104.0,-728.0,118.0,0.0,0.0,0.0,0.0,-4480.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,29.0,-,142.0,-,-,-,-,65.0,6028.0,-,810.0,-,-,-,ND,-,-,ND,-,-,-,245.0,-,-,286.0,2.64,16.14,124.51,54.92,6.03,49.93,0.0,0.0,51.86,27.22,1.97,61.78,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,03:45,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,04:00,5806.0,157.0,7442.0,371.0,0.0,2692.0,-1208.0,117.0,0.0,0.0,0.0,0.0,-3765.0,-,ND,-,ND,-,-,-,-,ND,ND,-,ND,-,28.0,-,143.0,-,-,-,-,47.0,5942.0,-,736.0,-,-,-,ND,-,-,ND,-,-,-,176.0,-,-,293.0,2.7,16.04,128.18,54.84,6.39,51.31,0.0,0.0,46.37,23.61,2.02,61.26,
Auvergne-Rhône-Alpes,Données définitives,2023-01-01,04:15,,,,,,,,,,,,,,-,,-,,-,-,-,-,,,-,,-,,-,,-,-,-,-,,,-,,-,-,-,,-,-,,-,-,-,,-,-,,,,,,,,,,,,,,
