Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Ile-de-France,Flux physiques de Bourgogne-Franche-Comté vers Ile-de-France,Flux physiques de Bretagne vers Ile-de-France,Flux physiques de Centre-Val de Loire vers Ile-de-France,Flux physiques de Grand-Est vers Ile-de-France,Flux physiques de Hauts-de-France vers Ile-de-France,Flux physiques d'Ile-de-France vers Ile-de-France,Flux physiques de Normandie vers Ile-de-France,Flux physiques de Nouvelle-Aquitaine vers Ile-de-France,Flux physiques d'Occitanie vers Ile-de-France,Flux physiques de Pays-de-la-Loire vers Ile-de-France,Flux physiques de PACA vers Ile-de-France,Flux physiques de Ile-de-France vers Auvergne-Rhône-Alpes,Flux physiques de Ile-de-France vers Bourgogne-Franche-Comté,Flux physiques de Ile-de-France vers Bretagne,Flux physiques de Ile-de-France vers Centre-Val de Loire,Flux physiques de Ile-de-France vers Grand-Est,Flux physiques de Ile-de-France vers Hauts-de-France,Flux physiques de Ile-de-France vers Ile-de-France,Flux physiques de Ile-de-France vers Normandie,Flux physiques de Ile-de-France vers Nouvelle-Aquitaine,Flux physiques de Ile-de-France vers Occitanie,Flux physiques de Ile-de-France vers Pays-de-la-Loire,Flux physiques de Ile-de-France vers PACA,Flux physiques Allemagne vers Ile-de-France,Flux physiques Belgique vers Ile-de-France,Flux physiques Espagne vers Ile-de-France,Flux physiques Italie vers Ile-de-France,Flux physiques Luxembourg vers Ile-de-France,Flux physiques Royaume-Uni vers Ile-de-France,Flux physiques Suisse vers Ile-de-France,Flux physiques de Ile-de-France vers Allemagne,Flux physiques de Ile-de-France vers Belgique,Flux physiques de Ile-de-France vers Espagne,Flux physiques de Ile-de-France vers Italie,Flux physiques de Ile-de-France vers Luxembourg,Flux physiques de Ile-de-France vers Royaume-Uni,Flux physiques de Ile-de-France vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Ile-de-France,Données définitives,2023-01-01,00:00,7060.0,257.0,0.0,131.0,0.0,8.0,0.0,123.0,0.0,0.0,0.0,0.0,6544.0,-,ND,-,ND,ND,ND,-,ND,-,-,-,-,-,30.0,-,860.0,4.0,58.0,-,404.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.64,11.83,0.0,ND,1.86,90.34,0.0,0.0,0.11,42.11,1.74,38.56,
Ile-de-France,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,-,,-,,,,-,,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Ile-de-France,Données définitives,2023-01-01,00:30,6800.0,259.0,0.0,132.0,0.0,8.0,0.0,138.0,0.0,0.0,0.0,0.0,6262.0,-,ND,-,ND,ND,ND,-,ND,-,-,-,-,-,24.0,-,1112.0,4.0,62.0,-,423.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.81,11.92,0.0,ND,1.94,91.03,0.0,0.0,0.12,42.11,2.03,43.26,
Ile-de-France,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,-,,-,,,,-,,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Ile-de-France,Données définitives,2023-01-01,01:00,6635.0,259.0,0.0,126.0,0.0,8.0,0.0,137.0,0.0,0.0,0.0,0.0,6104.0,-,ND,-,ND,ND,ND,-,ND,-,-,-,-,-,14.0,-,1298.0,4.0,163.0,-,500.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,11.92,0.0,ND,1.9,86.9,0.0,0.0,0.12,42.11,2.06,42.95,
Ile-de-France,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,-,,-,,,,-,,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Ile-de-France,Données définitives,2023-01-01,01:30,6416.0,259.0,0.0,114.0,0.0,8.0,0.0,139.0,0.0,0.0,0.0,0.0,5900.0,-,ND,-,ND,ND,ND,-,ND,-,-,-,-,-,14.0,-,1276.0,4.0,225.0,-,561.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.04,11.92,0.0,ND,1.78,78.62,0.0,0.0,0.12,42.11,2.17,43.57,
Ile-de-France,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,-,,-,,,,-,,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Ile-de-France,Données définitives,2023-01-01,02:00,6336.0,259.0,0.0,113.0,0.0,8.0,0.0,141.0,0.0,0.0,0.0,0.0,5816.0,-,ND,-,ND,ND,ND,-,ND,-,-,-,-,-,21.0,-,1378.0,4.0,187.0,-,568.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.09,11.92,0.0,ND,1.78,77.93,0.0,0.0,0.13,42.11,2.23,44.2,
Ile-de-France,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,-,,-,,,,-,,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
