Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers PACA,Flux physiques de Bourgogne-Franche-Comté vers PACA,Flux physiques de Bretagne vers PACA,Flux physiques de Centre-Val de Loire vers PACA,Flux physiques de Grand-Est vers PACA,Flux physiques de Hauts-de-France vers PACA,Flux physiques d'Ile-de-France vers PACA,Flux physiques de Normandie vers PACA,Flux physiques de Nouvelle-Aquitaine vers PACA,Flux physiques d'Occitanie vers PACA,Flux physiques de Pays-de-la-Loire vers PACA,Flux physiques de PACA vers PACA,Flux physiques de PACA vers Auvergne-Rhône-Alpes,Flux physiques de PACA vers Bourgogne-Franche-Comté,Flux physiques de PACA vers Bretagne,Flux physiques de PACA vers Centre-Val de Loire,Flux physiques de PACA vers Grand-Est,Flux physiques de PACA vers Hauts-de-France,Flux physiques de PACA vers Ile-de-France,Flux physiques de PACA vers Normandie,Flux physiques de PACA vers Nouvelle-Aquitaine,Flux physiques de PACA vers Occitanie,Flux physiques de PACA vers Pays-de-la-Loire,Flux physiques de PACA vers PACA.1,Flux physiques Allemagne vers PACA,Flux physiques Belgique vers PACA,Flux physiques Espagne vers PACA,Flux physiques Italie vers PACA,Flux physiques Luxembourg vers PACA,Flux physiques Royaume-Uni vers PACA,Flux physiques Suisse vers PACA,Flux physiques de PACA vers Allemagne,Flux physiques de PACA vers Belgique,Flux physiques de PACA vers Espagne,Flux physiques de PACA vers Italie,Flux physiques de PACA vers Luxembourg,Flux physiques de PACA vers Royaume-Uni,Flux physiques de PACA vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
PACA,Données définitives,2023-01-01,00:00,4685.0,193.0,0.0,71.0,0.0,913.0,0.0,198.0,0.0,0.0,0.0,0.0,3310.0,ND,-,-,-,-,-,-,-,-,ND,-,-,293.0,-,-,-,-,-,-,-,-,251.0,-,-,-,-,-,ND,-,-,-,-,-,-,205.0,-,-,-,4.12,7.1,0.0,ND,1.52,73.96,0.0,0.0,19.49,27.97,4.23,66.67,
PACA,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2023-01-01,00:30,4395.0,210.0,0.0,70.0,0.0,691.0,0.0,197.0,0.0,0.0,0.0,0.0,3227.0,ND,-,-,-,-,-,-,-,-,ND,-,-,299.0,-,-,-,-,-,-,-,-,249.0,-,-,-,-,-,ND,-,-,-,-,-,-,227.0,-,-,-,4.78,7.73,0.0,ND,1.59,72.92,0.0,0.0,15.72,21.17,4.48,66.33,
PACA,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2023-01-01,01:00,4375.0,210.0,0.0,66.0,0.0,677.0,0.0,197.0,0.0,0.0,0.0,0.0,3225.0,ND,-,-,-,-,-,-,-,-,ND,-,-,289.0,-,-,-,-,-,-,-,-,256.0,-,-,-,-,-,ND,-,-,-,-,-,-,198.0,-,-,-,4.8,7.73,0.0,ND,1.51,68.75,0.0,0.0,15.47,20.74,4.5,66.33,
PACA,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2023-01-01,01:30,4395.0,211.0,0.0,70.0,0.0,674.0,0.0,199.0,0.0,0.0,0.0,0.0,3242.0,ND,-,-,-,-,-,-,-,-,ND,-,-,281.0,-,-,-,-,-,-,-,-,260.0,-,-,-,-,-,ND,-,-,-,-,-,-,223.0,-,-,-,4.8,7.77,0.0,ND,1.59,72.92,0.0,0.0,15.34,20.65,4.53,67.0,
PACA,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
PACA,Données définitives,2023-01-01,02:00,4519.0,210.0,0.0,68.0,0.0,673.0,-51.0,196.0,0.0,0.0,0.0,0.0,3424.0,ND,-,-,-,-,-,-,-,-,ND,-,-,280.0,-,-,-,-,-,-,-,-,259.0,-,-,-,-,-,ND,-,-,-,-,-,-,197.0,-,-,-,4.65,7.73,0.0,ND,1.5,70.83,0.0,0.0,14.89,20.62,4.34,65.99,
PACA,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,
