Périmètre,Nature,Date,Heures,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore,Ech. physiques,Flux physiques d'Auvergne-Rhône-Alpes vers Pays-de-la-Loire,Flux physiques de Bourgogne-Franche-Comté vers Pays-de-la-Loire,Flux physiques de Bretagne vers Pays-de-la-Loire,Flux physiques de Centre-Val de Loire vers Pays-de-la-Loire,Flux physiques de Grand-Est vers Pays-de-la-Loire,Flux physiques de Hauts-de-France vers Pays-de-la-Loire,Flux physiques d'Ile-de-France vers Pays-de-la-Loire,Flux physiques de Normandie vers Pays-de-la-Loire,Flux physiques de Nouvelle-Aquitaine vers Pays-de-la-Loire,Flux physiques d'Occitanie vers Pays-de-la-Loire,Flux physiques de Pays-de-la-Loire vers Pays-de-la-Loire,Flux physiques de PACA vers Pays-de-la-Loire,Flux physiques de Pays-de-la-Loire vers Auvergne-Rhône-Alpes,Flux physiques de Pays-de-la-Loire vers Bourgogne-Franche-Comté,Flux physiques de Pays-de-la-Loire vers Bretagne,Flux physiques de Pays-de-la-Loire vers Centre-Val de Loire,Flux physiques de Pays-de-la-Loire vers Grand-Est,Flux physiques de Pays-de-la-Loire vers Hauts-de-France,Flux physiques de Pays-de-la-Loire vers Ile-de-France,Flux physiques de Pays-de-la-Loire vers Normandie,Flux physiques de Pays-de-la-Loire vers Nouvelle-Aquitaine,Flux physiques de Pays-de-la-Loire vers Occitanie,Flux physiques de Pays-de-la-Loire vers Pays-de-la-Loire.1,Flux physiques de Pays-de-la-Loire vers PACA,Flux physiques Allemagne vers Pays-de-la-Loire,Flux physiques Belgique vers Pays-de-la-Loire,Flux physiques Espagne vers Pays-de-la-Loire,Flux physiques Italie vers Pays-de-la-Loire,Flux physiques Luxembourg vers Pays-de-la-Loire,Flux physiques Royaume-Uni vers Pays-de-la-Loire,Flux physiques Suisse vers Pays-de-la-Loire,Flux physiques de Pays-de-la-Loire vers Allemagne,Flux physiques de Pays-de-la-Loire vers Belgique,Flux physiques de Pays-de-la-Loire vers Espagne,Flux physiques de Pays-de-la-Loire vers Italie,Flux physiques de Pays-de-la-Loire vers Luxembourg,Flux physiques de Pays-de-la-Loire vers Royaume-Uni,Flux physiques de Pays-de-la-Loire vers Suisse,TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Unnamed: 67
Pays-de-la-Loire,Données définitives,2023-01-01,00:00,3175.0,122.0,0.0,1249.0,0.0,5.0,0.0,61.0,0.0,0.0,0.0,0.0,1738.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,970.0,16.0,-,-,-,42.0,730.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.84,6.06,0.0,-,39.34,72.36,0.0,0.0,0.16,50.0,1.92,74.39,
Pays-de-la-Loire,Données définitives,2023-01-01,00:15,,,,,,,,,,,,,,-,-,,,-,-,-,,,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Pays-de-la-Loire,Données définitives,2023-01-01,00:30,2980.0,127.0,0.0,1254.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0,0.0,1532.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,1068.0,17.0,-,-,-,41.0,898.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.26,6.31,0.0,-,42.08,72.65,0.0,0.0,0.2,60.0,2.05,74.39,
Pays-de-la-Loire,Données définitives,2023-01-01,00:45,,,,,,,,,,,,,,-,-,,,-,-,-,,,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Pays-de-la-Loire,Données définitives,2023-01-01,01:00,2995.0,139.0,0.0,1034.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0,0.0,1758.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,1069.0,19.0,-,-,-,49.0,939.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.64,6.91,0.0,-,34.52,59.91,0.0,0.0,0.2,60.0,1.94,70.73,
Pays-de-la-Loire,Données définitives,2023-01-01,01:15,,,,,,,,,,,,,,-,-,,,-,-,-,,,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Pays-de-la-Loire,Données définitives,2023-01-01,01:30,2929.0,142.0,0.0,910.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0,0.0,1813.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,1130.0,17.0,-,-,-,53.0,862.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.85,7.05,0.0,-,31.07,52.72,0.0,0.0,0.2,60.0,2.01,71.95,
Pays-de-la-Loire,Données définitives,2023-01-01,01:45,,,,,,,,,,,,,,-,-,,,-,-,-,,,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Pays-de-la-Loire,Données définitives,2023-01-01,02:00,2896.0,152.0,0.0,885.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0,0.0,1795.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,1145.0,17.0,-,-,-,56.0,929.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.25,7.55,0.0,-,30.56,51.27,0.0,0.0,0.21,60.0,2.04,71.95,
Pays-de-la-Loire,Données définitives,2023-01-01,02:15,,,,,,,,,,,,,,-,-,,,-,-,-,,,-,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
Pays-de-la-Loire,Données définitives,2023-01-01,02:30,2733.0,153.0,0.0,848.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0,0.0,1667.0,-,-,ND,ND,-,-,-,ND,ND,-,-,-,-,-,1130.0,17.0,-,-,-,57.0,917.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.6,7.6,0.0,-,31.03,49.13,0.0,0.0,0.22,60.0,2.16,71.95,
