Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
FRAIS;FRAISES;Poste de transformation;EN EXPLOITATION;225kV;Marne
BASCA;BASCAT;Poste de transformation;ACCORD ADMINISTRATIF;63kV;Landes
F.FRE;FAUX-FRESNAY;Poste de transformation;EN EXPLOITATION;400kV;Marne
ZGARA;PIQUAGE A GARANGER;Point de piquage;EN EXPLOITATION;90kV;Vendée
SSGEI;ST-GEIN;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Landes
V.POR;VIEUX-PORT;Poste de transformation;EN EXPLOITATION;225kV;
HAPLI;HAPLINCOURT;Poste de transformation;ACCORD ADMINISTRATIF;225kV;Pas-de-Calais
CZSEU;COURSEULLES (SUR-MER);Poste de transformation;EN EXPLOITATION;225kV;
POINT;POINTES;Poste de transformation;EN EXPLOITATION;90kV;Marne
B.THO;BARRE-THOMAS (LA);Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
GAVE5;GAVET (HYDRAULIQUE);Poste de transformation;EN EXPLOITATION;63kV;Isère
1AMBI;AMBIALET /AVALATS 33KV;Poste de transformation;EN EXPLOITATION;<45kV;Tarn
1BAS5;BASSIES;Poste de transformation;EN EXPLOITATION;<45kV;Ariège
1CLAM;CLAMART;Poste de transformation;EN EXPLOITATION;225kV;Hauts-de-Seine
A.ADO;AIRE-SUR-ADOUR;Poste de transformation;EN EXPLOITATION;63kV;Landes
A.CHA;ACIERIES-DE-CHAMPAGNOLE;Poste de transformation;EN EXPLOITATION;63kV;Jura
A.DUC;ARNAY LE DUC;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
A.HUE;ALPE-D HUEZ;Poste de transformation;EN EXPLOITATION;63kV;Isère
A.LI7;AIR-LIQUIDE (SOGIF);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
A.MOR;AIGUES-MORTES;Poste de transformation;EN EXPLOITATION;63kV;Gard
A.NOR;ANCE-DU-NORD;Poste de transformation;EN EXPLOITATION;63kV;Haute-Loire
A.OTH;AIX-EN-OTHE;Poste de transformation;EN EXPLOITATION;63kV;Aube
A.PLE;ARGENTRE-DU-PLESSIS;Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
A.TO5;ARSENAL DE TOULON;Poste de transformation;EN EXPLOITATION;63kV;Var
ACHIE;ACHIET;Poste de transformation;EN EXPLOITATION;90kV;Pas-de-Calais
AIGRE;AIGRE;Poste de transformation;EN EXPLOITATION;90kV;Charente
AILLE;AILLEVILLE;Poste de transformation;EN EXPLOITATION;63kV;Aube
ALBE5;ALBERT;Poste de transformation;EN EXPLOITATION;90kV;Somme
ALBIA;ALBIAS;Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
ALIZA;ALIZAY;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
ALLAI;ALLAIRE;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
ALLAR;ALLARD;Poste de transformation;EN EXPLOITATION;90kV;Sarthe
ALLIE;ALLIERES;Poste de transformation;EN EXPLOITATION;63kV;Rhône
ALLIN;ALLINGES;Poste de transformation;EN EXPLOITATION;225kV;Haute-Savoie
ALRAN;ALRANCE;Poste de transformation;EN EXPLOITATION;63kV;Aveyron
AMANV;AMANVILLERS;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
AMARG;AMARGUE;Poste de transformation;EN EXPLOITATION;225kV;Somme
AMBER;AMBERIEU;Poste de transformation;EN EXPLOITATION;63kV;Ain
AMELO;AMELOT (AEROPORT PARIS NORD);Poste de transformation;EN EXPLOITATION;225kV;Val-d'Oise
AMFAR;AMFARD;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
AMIEN;AMIENS;Poste de transformation;EN EXPLOITATION;225kV;Somme
ANCER;ANCERVILLE;Poste de transformation;EN EXPLOITATION;63kV;Moselle
ANGER;ANGERS;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
ANNA;ANNA;Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
