department,region
Gard,Occitanie
Haute-Marne,Grand Est
Oise,Hauts-de-France
Aisne,Hauts-de-France
Dordogne,Nouvelle-Aquitaine
Savoie,Auvergne-Rhône-Alpes
Vendée,Pays de la Loire
Hérault,Occitanie
Tarn,Occitanie
Haute-Savoie,Auvergne-Rhône-Alpes
Deux-Sèvres,Nouvelle-Aquitaine
Morbihan,Bretagne
Ain,Auvergne-Rhône-Alpes
Côte-d'Or,Bourgogne-Franche-Comté
Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Pyrénées-Atlantiques,Nouvelle-Aquitaine
Indre-et-Loire,Centre-Val de Loire
Côtes-d'Armor,Bretagne
Haute-Loire,Auvergne-Rhône-Alpes
Var,Provence-Alpes-Côte d'Azur
Ille-et-Vilaine,Bretagne
Charente-Maritime,Nouvelle-Aquitaine
Indre,Centre-Val de Loire
Rhône,Auvergne-Rhône-Alpes
Hauts-de-Seine,Île-de-France
Isère,Auvergne-Rhône-Alpes
Landes,Nouvelle-Aquitaine
Loire,Auvergne-Rhône-Alpes
Jura,Bourgogne-Franche-Comté
Pas-de-Calais,Hauts-de-France
Nord,Hauts-de-France
Ardèche,Auvergne-Rhône-Alpes
Pyrénées-Orientales,Occitanie
Charente,Nouvelle-Aquitaine
Aube,Grand Est
Ariège,Occitanie
Vienne,Nouvelle-Aquitaine
Doubs,Bourgogne-Franche-Comté
Somme,Hauts-de-France
Finistère,Bretagne
Hautes-Pyrénées,Occitanie
Moselle,Grand Est
Haute-Vienne,Nouvelle-Aquitaine
Manche,Normandie
Aveyron,Occitanie
Puy-de-Dôme,Auvergne-Rhône-Alpes
Lot-et-Garonne,Nouvelle-Aquitaine
Gironde,Nouvelle-Aquitaine
Tarn-et-Garonne,Occitanie
Orne,Normandie
Paris,Île-de-France
Seine-Maritime,Normandie
Sarthe,Pays de la Loire
Cher,Centre-Val de Loire
Seine-Saint-Denis,Île-de-France
Haute-Saône,Bourgogne-Franche-Comté
Bas-Rhin,Grand Est
Haut-Rhin,Grand Est
Meurthe-et-Moselle,Grand Est
Val-d'Oise,Île-de-France
Loiret,Centre-Val de Loire
Yvelines,Île-de-France
Lozère,Occitanie
Loire-Atlantique,Pays de la Loire
Eure,Normandie
Maine-et-Loire,Pays de la Loire
Yonne,Bourgogne-Franche-Comté
Vosges,Grand Est
Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Aude,Occitanie
Vaucluse,Provence-Alpes-Côte d'Azur
Essonne,Île-de-France
Cantal,Auvergne-Rhône-Alpes
Val-de-Marne,Île-de-France
Corrèze,Nouvelle-Aquitaine
Hautes-Alpes,Provence-Alpes-Côte d'Azur
Haute-Garonne,Occitanie
Eure-et-Loir,Centre-Val de Loire
Saône-et-Loire,Bourgogne-Franche-Comté
Territoire de Belfort,Bourgogne-Franche-Comté
Lot,Occitanie
Mayenne,Pays de la Loire
Creuse,Nouvelle-Aquitaine
Gers,Occitanie
Marne,Grand Est
Ardennes,Grand Est
Allier,Auvergne-Rhône-Alpes
Meuse,Grand Est
Drôme,Auvergne-Rhône-Alpes
Seine-et-Marne,Île-de-France
Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur
Calvados,Normandie
Loir-et-Cher,Centre-Val de Loire
Nièvre,Bourgogne-Franche-Comté
