substation_id,region
.CTLH,Unassigned
.CTLO,Unassigned
.G.RO,Unassigned
.NAVA,Unassigned
0FORT,Unassigned
0NOVI,Unassigned
0PERR,Unassigned
0R.LE,Unassigned
0TREG,Unassigned
1B.E5,Auvergne-Rhône-Alpes
1B.E6,Auvergne-Rhône-Alpes
1GUIL,Auvergne-Rhône-Alpes
1SSF5,Auvergne-Rhône-Alpes
1SSFO,Auvergne-Rhône-Alpes
A.ADO,Nouvelle-Aquitaine
A.BA5,Auvergne-Rhône-Alpes
A.BAI,Auvergne-Rhône-Alpes
A.BOU,Auvergne-Rhône-Alpes
A.CHA,Bourgogne-Franche-Comté
A.COM,Hauts-de-France
A.DUC,Bourgogne-Franche-Comté
A.FEU,Auvergne-Rhône-Alpes
A.HUE,Auvergne-Rhône-Alpes
A.LI6,Hauts-de-France
A.LI7,Auvergne-Rhône-Alpes
A.LIG,Auvergne-Rhône-Alpes
A.MER,Occitanie
A.MOR,Occitanie
A.MOU,Provence-Alpes-Côte d'Azur
A.NOR,Auvergne-Rhône-Alpes
A.NOU,Nouvelle-Aquitaine
A.OTH,Grand Est
A.PLE,Bretagne
A.THE,Occitanie
A.TO5,Provence-Alpes-Côte d'Azur
A.VOU,Nouvelle-Aquitaine
ABBA5,Auvergne-Rhône-Alpes
ABBAY,Auvergne-Rhône-Alpes
ABBEN,Bourgogne-Franche-Comté
ABBEV,Hauts-de-France
ABERS,Bretagne
ABIDO,Nouvelle-Aquitaine
ABLAI,Hauts-de-France
ABOND,Auvergne-Rhône-Alpes
ACHI5,Hauts-de-France
ACHIE,Hauts-de-France
ADAST,Occitanie
ADELS,Grand Est
AGASS,Occitanie
AGE,Nouvelle-Aquitaine
AGNEA,Normandie
AGUES,Occitanie
AICIR,Nouvelle-Aquitaine
AIGRE,Nouvelle-Aquitaine
AIGU5,Auvergne-Rhône-Alpes
AIGU6,Auvergne-Rhône-Alpes
AIGUE,Auvergne-Rhône-Alpes
AIGUI,Nouvelle-Aquitaine
AIGUR,Centre-Val de Loire
AILLE,Grand Est
AIME,Auvergne-Rhône-Alpes
AIRAI,Hauts-de-France
AIRE,Hauts-de-France
AIRVA,Nouvelle-Aquitaine
AISER,Bourgogne-Franche-Comté
AIX,Provence-Alpes-Côte d'Azur
ALBE5,Hauts-de-France
ALBER,Auvergne-Rhône-Alpes
ALBIA,Occitanie
ALENC,Normandie
ALERI,Normandie
ALESI,Île-de-France
ALGER,Grand Est
ALIZA,Normandie
ALLAI,Bretagne
ALLAR,Pays de la Loire
ALLE5,Auvergne-Rhône-Alpes
ALLEM,Auvergne-Rhône-Alpes
ALLEU,Hauts-de-France
ALLIE,Auvergne-Rhône-Alpes
ALLIN,Auvergne-Rhône-Alpes
ALLO5,Pays de la Loire
ALLON,Hauts-de-France
ALLOU,Centre-Val de Loire
ALMA,Île-de-France
ALOUE,Île-de-France
ALRAN,Occitanie
ALSAC,Île-de-France
ALSTH,Bourgogne-Franche-Comté
ALTEN,Grand Est
ALTKI,Grand Est
ALTOR,Grand Est
AMANV,Grand Est
AMARG,Hauts-de-France
AMARI,Grand Est
AMBE5,Auvergne-Rhône-Alpes
AMBER,Auvergne-Rhône-Alpes
AMBON,Bretagne
AMELE,Grand Est
AMELO,Île-de-France
AMFAR,Normandie
AMIEN,Hauts-de-France
AMILL,Centre-Val de Loire
AMNEV,Grand Est
AMPE5,Auvergne-Rhône-Alpes
AMPER,Île-de-France
AMPLE,Auvergne-Rhône-Alpes
AMPON,Île-de-France
AMPUI,Auvergne-Rhône-Alpes
